"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Tax-Exempt Bond Liabilities","31-Dec-06","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Tax-Exempt Bond Liabilities","31-Dec-07","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Tax-Exempt Bond Liabilities","31-Dec-11","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Total Assets","1-Jan-03","13982"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Total Assets","1-Jan-06","14052"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Total Assets","1-Jan-07","609223"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Total Assets","1-Jan-11","501660"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Total Assets","1-Jan-97","6109"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Total Assets","31-Dec-03","21047"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Total Assets","31-Dec-06","609223"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Total Assets","31-Dec-07","557830"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Total Assets","31-Dec-11","488141"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Total Assets","31-Dec-97","11626"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Total Liabilities","1-Jan-03","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Total Liabilities","1-Jan-06","1633"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Total Liabilities","1-Jan-07","543424"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Total Liabilities","1-Jan-11","549100"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Total Liabilities","1-Jan-97","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Total Liabilities","31-Dec-03","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Total Liabilities","31-Dec-06","543424"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Total Liabilities","31-Dec-07","540034"
